Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-Jan-00,270,273.75,256,257.75,261.6233132,1724491,6308,451167049,,,17.75,-12.25
5-Jan-00,252,264.9,240,250,254.0092546,1714396,6120,435472450,,,24.9,-2
6-Jan-00,251.5,260.85,246,248.25,254.7533288,1421674,5327,362176184,,,14.85,-3.25
7-Jan-00,248,256.4,236,239,247.4031921,2202129,6976,544813744,,,20.4,-9
10-Jan-00,247,249.9,232,234.75,241.3116081,1230411,5253,296912457,,,17.9,-12.25
11-Jan-00,236.5,239,218.2,219.3,228.1137735,1343635,4607,306501650,,,20.8,-17.2
12-Jan-00,219.9,230.4,218,225.5,225.940338,1121066,4531,253294031,,,12.4,5.6
13-Jan-00,228,231,220,223.15,226.6945985,1228789,4910,278559829,,,11,-4.85
14-Jan-00,226,227,212,214.75,218.7525066,1936787,6829,423677011,,,15,-11.25
17-Jan-00,220,224.4,215.5,216.5,219.3708779,893817,4174,196077420,,,8.9,-3.5
18-Jan-00,217.4,219.4,213.15,214.9,215.534516,1049295,4229,226159290,,,6.25,-2.5
19-Jan-00,213.9,225,211,219,218.8181405,3371064,11558,737649956,,,14,5.1
20-Jan-00,217.5,219,205.1,205.6,210.7267725,1628859,6458,343244200,,,13.9,-11.9
21-Jan-00,206,208.85,201.75,203,205.0260787,1182267,4825,242395567,,,7.1,-3
24-Jan-00,207,215,205.5,206.4,209.7775635,1603599,5369,336399091,,,9.5,-0.6
25-Jan-00,205.5,208.75,194.2,196,200.0575171,1398227,6272,279725822,,,14.55,-9.5
27-Jan-00,197.5,199,190.25,191.85,193.6404197,662222,2794,128232946,,,8.75,-5.65
28-Jan-00,192.9,197.85,191.1,193,194.2346409,1353809,5147,262956605,,,6.75,0.1
31-Jan-00,194.5,195.5,177.6,178,185.9297084,2484621,8177,461964858,,,17.9,-16.5
1-Feb-00,179,185,178,182.5,182.4481066,1225579,5475,223604568,,,7,3.5
2-Feb-00,183.95,196,183.5,192.9,190.8214391,2442405,8201,466063237,,,12.5,8.95
3-Feb-00,194,196.95,189.2,190,193.5753375,1363000,5033,263843185,,,7.75,-4
4-Feb-00,191,195.5,186.55,187.25,191.4092396,1773003,5872,339369156,,,8.95,-3.75
7-Feb-00,192,195.6,190,192,192.952099,1038266,4279,200335604,,,5.6,0
8-Feb-00,191.1,207.35,190.1,207.35,202.7611362,3623914,9562,734788920,,,17.25,16.25
9-Feb-00,211.25,214,193.1,196.15,206.9533805,3089930,9139,639471459,,,20.9,-15.1
10-Feb-00,196,202.8,189.5,196.45,197.2019119,2899913,9630,571868388,,,13.3,0.45
11-Feb-00,197,206.35,194.3,199,200.6464085,3445951,9363,691417692,,,12.05,2
14-Feb-00,204,208,197,198.1,203.5179378,2889098,9007,587983267,,,11,-5.9
15-Feb-00,199,205,182.3,182.95,191.6707249,3897543,11005,747044892,,,22.7,-16.05
16-Feb-00,184,189.7,182.8,184.5,186.2063615,1788851,6614,333095436,,,6.9,0.5
